SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
1135.51,38,16,139,6,6,0,75,2,30,0,0
1145.51,39,4,140,1,1,0,50,0,40,0,0
1155.51,39,14,141,1,1,0,50,0,40,0,0
1165.51,39,15,142,1,1,0,50,0,40,0,0
1175.51,39,16,144,2,2,0,50,0,40,0,0
1185.51,40,3,145,2,2,0,62.5,1,18,0,0
1195.51,40,14,146,3,3,0,62.5,1,18,0,0
1205.51,41,5,147,3,3,0,50,2,30,0,0
1215.51,41,15,149,5,5,0,50,2,30,0,0
1225.51,41,17,150,6,6,0,50,2,30,0,0
1235.51,42,4,151,1,1,0,66.66666,0,40,0,0
1245.51,42,14,152,1,1,0,66.66666,0,40,0,0
1255.51,42,15,153,1,1,0,66.66666,0,40,0,0
1265.51,42,16,154,1,1,0,66.66666,0,40,0,0
1275.51,43,5,155,2,2,0,50,1,20,0,0
1285.51,43,15,157,4,4,0,50,1,20,0,0
1295.51,44,7,158,5,5,0,75,2,30,0,0
1305.51,44,15,159,6,6,0,75,2,30,0,0
1315.51,44,17,160,7,7,0,75,2,30,0,0
1325.51,45,7,161,1,1,0,50,0,40,0,0
1335.51,45,14,162,1,1,0,50,0,40,0,0
1345.51,45,15,163,1,1,0,50,0,40,0,0
1355.51,45,16,164,1,1,0,50,0,40,0,0
1365.51,46,4,166,2,2,0,50,1,20,0,0
1375.51,46,13,167,3,3,0,50,1,20,0,0
1385.51,47,5,168,1,1,0,75,2,30,0,0
1395.51,47,14,169,2,2,0,75,2,30,0,0
1405.51,47,15,170,3,3,0,75,2,30,0,0
1415.51,48,5,171,1,1,0,50,0,40,0,0
1425.51,48,12,172,1,1,0,50,0,40,0,0
1435.51,48,15,173,1,1,0,50,0,40,0,0
1445.51,48,15,174,1,1,0,50,0,40,0,0
1455.51,49,6,175,2,2,0,50,1,20,0,0
1465.51,49,13,176,3,3,0,50,1,20,0,0
1475.51,50,6,177,4,4,0,50,2,30,0,0
1485.51,50,15,178,5,5,0,50,2,30,0,0
1495.51,50,17,179,6,6,0,50,2,30,0,0
1505.51,51,5,180,1,1,0,50,0,40,0,0
1515.51,51,12,181,1,1,0,50,0,40,0,0
1525.51,51,15,182,1,1,0,50,0,40,0,0
1535.51,51,16,183,1,1,0,50,0,40,0,0
1545.51,52,7,184,2,2,0,50,1,20,0,0
1555.51,52,13,185,3,3,0,50,1,20,0,0
1565.51,53,8,186,4,4,0,50,2,30,0,0
1575.51,53,14,187,5,5,0,50,2,30,0,0
1585.51,53,18,189,7,7,0,50,2,30,0,0
1595.51,54,5,190,1,1,0,66.66666,0,40,0,0
1605.51,54,11,191,1,1,0,66.66666,0,40,0,0
1615.51,54,14,192,1,1,0,66.66666,0,40,0,0
1625.51,54,16,193,1,1,0,66.66666,0,40,0,0
1635.51,55,6,194,2,2,0,50,1,28,0,0
1645.51,55,13,195,3,3,0,50,1,28,0,0
1655.51,55,21,196,4,4,0,50,1,28,0,0
1665.51,56,6,198,4,4,0,50,2,30,0,0
1675.51,56,10,199,5,5,0,50,2,30,0,0
1685.51,56,16,200,6,6,0,50,2,30,0,0
1695.51,57,6,201,1,1,0,66.66666,0,40,0,0
1705.51,57,8,202,1,1,0,66.66666,0,40,0,0
1715.51,57,11,203,1,1,0,66.66666,0,40,0,0
1725.51,57,16,204,1,1,0,66.66666,0,40,0,0
1735.51,58,7,205,2,2,0,50,1,20,0,0
1745.51,58,15,207,4,4,0,50,1,20,0,0
1755.51,59,6,208,3,3,0,75,2,30,0,0
1765.51,59,12,209,4,4,0,75,2,30,0,0
1775.51,59,17,211,6,6,0,75,2,30,0,0
1785.51,60,5,212,1,1,0,66.66666,0,40,0,0
1795.51,60,8,213,1,1,0,66.66666,0,40,0,0
1805.51,60,12,214,1,1,0,66.66666,0,40,0,0
1815.51,60,16,215,1,1,0,66.66666,0,40,0,0
1825.51,61,7,216,2,2,0,50,1,20,0,0
1835.51,61,15,218,4,4,0,50,1,20,0,0
1845.51,62,6,219,5,5,0,75,2,30,0,0
1855.51,62,12,220,6,6,0,75,2,30,0,0
1865.51,62,16,221,7,7,0,75,2,30,0,0
1875.51,63,5,223,4,4,0,50,0,40,0,0
1885.51,63,8,224,1,1,0,50,0,40,0,0
1895.51,63,12,225,1,1,0,50,0,40,0,0
1905.51,63,16,226,1,1,0,50,0,40,0,0
1915.51,64,8,227,2,2,0,62.5,1,20,0,0
1925.51,64,15,228,3,3,0,62.5,1,20,0,0
1935.51,65,5,229,3,3,0,50,2,31,0,0
1945.51,65,11,230,4,4,0,50,2,31,0,0
1955.51,65,16,232,6,6,0,50,2,31,0,0
1965.51,66,4,233,3,3,0,59.99993,0,40,0,0
1975.51,66,8,234,1,1,0,59.99993,0,40,0,0
1985.51,66,11,235,1,1,0,59.99993,0,40,0,0
1995.51,66,16,236,1,1,0,59.99993,0,40,0,0
2005.51,67,6,237,1,1,0,62.5,1,12,0,0
2015.51,68,3,238,2,2,0,37.49989,2,32,0,0
2025.51,68,9,240,4,4,0,37.49989,2,32,0,0
2035.51,68,15,241,5,5,0,37.49989,2,32,0,0
2045.51,68,19,242,6,6,0,37.49989,2,32,0,0
2055.51,69,5,243,1,1,0,60.00014,0,40,0,0
2065.51,69,9,244,1,1,0,60.00014,0,40,0,0
2075.51,69,13,246,2,2,0,60.00014,0,40,0,0
2085.51,69,18,247,1,1,0,60.00014,0,40,0,0
2095.51,70,7,248,2,2,0,62.5,1,20,0,0
2105.51,70,14,249,3,3,0,62.5,1,20,0,0
2115.51,71,6,250,1,1,0,50,2,30,0,0
2125.51,71,12,251,1,1,0,50,2,30,0,0
2135.51,71,17,252,2,2,0,50,2,30,0,0
2145.51,72,4,253,1,1,0,50,0,40,0,0
2155.51,72,8,255,2,2,0,50,0,40,0,0
2165.51,72,12,256,1,1,0,50,0,40,0,0
2175.51,72,17,257,1,1,0,50,0,40,0,0
2185.51,73,7,259,3,3,0,62.5,1,19,0,0
2195.51,73,13,260,4,4,0,62.5,1,19,0,0
2205.51,74,6,261,4,4,0,75,2,30,0,0
2215.51,74,12,262,5,5,0,75,2,30,0,0
2225.51,74,17,263,6,6,0,75,2,30,0,0
2235.51,75,4,265,2,2,0,50,0,40,0,0
2245.51,75,9,266,1,1,0,50,0,40,0,0
2255.51,75,12,267,1,1,0,50,0,40,0,0
2265.51,75,17,268,1,1,0,50,0,40,0,0
2275.51,76,6,270,2,2,0,62.5,1,20,0,0
2285.51,76,12,271,3,3,0,62.5,1,20,0,0
2295.51,77,7,272,4,4,0,75,2,30,0,0
2305.51,77,12,274,6,6,0,75,2,30,0,0
2315.51,77,16,275,7,7,0,75,2,30,0,0
2325.51,78,4,276,1,1,0,66.66666,0,40,0,0
2335.51,78,9,277,1,1,0,66.66666,0,40,0,0
2345.51,78,12,279,2,2,0,66.66666,0,40,0,0
2355.51,78,18,280,1,1,0,66.66666,0,40,0,0
2365.51,79,6,281,2,2,0,62.5,1,20,0,0
2375.51,79,12,282,3,3,0,62.5,1,20,0,0
2385.51,80,6,283,4,4,0,50,2,27,0,0
2395.51,80,11,284,5,5,0,50,2,27,0,0
2405.51,80,16,285,6,6,0,50,2,27,0,0
2415.51,81,6,287,2,2,0,50,0,40,0,0
2425.51,81,8,288,1,1,0,50,0,40,0,0
2435.51,81,13,289,1,1,0,50,0,40,0,0
2445.51,81,17,291,2,2,0,50,0,40,0,0
2455.51,82,8,292,2,2,0,75,1,20,0,0
2465.51,82,13,293,3,3,0,75,1,20,0,0
2475.51,83,7,294,4,4,0,50,2,30,0,0
2485.51,83,11,295,5,5,0,50,2,30,0,0
2495.51,83,18,296,6,6,0,50,2,30,0,0
2505.51,84,4,297,1,1,0,50,0,40,0,0
2515.51,84,7,298,1,1,0,50,0,40,0,0
2525.51,84,12,299,1,1,0,50,0,40,0,0
2535.51,84,18,300,1,1,0,50,0,40,0,0
2545.51,85,7,301,1,1,0,50,1,13,0,0
2555.51,86,3,302,2,2,0,74.99908,2,30,0,0
2565.51,86,11,304,4,4,0,74.99908,2,30,0,0
2575.51,86,15,305,5,5,0,74.99908,2,30,0,0
2585.51,87,3,306,3,3,0,50,0,40,0,0
2595.51,87,8,307,1,1,0,50,0,40,0,0
2605.51,87,10,308,1,1,0,50,0,40,0,0
2615.51,87,16,309,1,1,0,50,0,40,0,0
2625.51,88,3,311,2,2,0,62.5,1,20,0,0
2635.51,88,11,312,3,3,0,62.5,1,20,0,0
2645.51,89,2,313,4,4,0,50,2,30,0,0
2655.51,89,11,314,5,5,0,50,2,30,0,0
2665.51,89,14,316,7,7,0,50,2,30,0,0
2675.51,90,5,317,4,4,0,66.66666,0,40,0,0
2685.51,90,9,318,1,1,0,66.66666,0,40,0,0
2695.51,90,11,319,1,1,0,66.66666,0,40,0,0
2705.51,90,17,320,1,1,0,66.66666,0,40,0,0
2715.51,91,5,322,2,2,0,62.5,1,20,0,0
2725.51,91,13,323,3,3,0,62.5,1,20,0,0
2735.51,92,3,324,4,4,0,50,2,29,0,0
2745.51,92,11,325,5,5,0,50,2,29,0,0
2755.51,92,15,326,6,6,0,50,2,29,0,0
2765.51,93,5,327,3,3,0,50,0,40,0,0
2775.51,93,8,329,2,2,0,50,0,40,0,0
2785.51,93,11,330,1,1,0,50,0,40,0,0
2795.51,93,17,331,1,1,0,50,0,40,0,0
2805.51,94,5,332,1,1,0,75,1,20,0,0
