Episode,TotalVehicles,VehiclesWaiting,EpisodeDuration,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed
151,541,3,20,75,75,1,20,0
152,544,6,26.6665,56.25034,56.25034,2,24,0
153,549,1,40,62.5,62.5,0,40,0
154,551,3,13.3335,74.99908,74.99908,1,11,0
155,555,4,30,66.66666,66.66666,2,30,0
156,560,1,40,62.5,62.5,0,40,0
157,563,4,20,75,75,1,20,0
158,567,7,30,66.66666,66.66666,2,30,0
159,572,1,40,62.5,62.5,0,40,0
160,574,3,20,50,50,1,20,0
161,578,7,30,66.66666,66.66666,2,30,0
162,583,1,40,62.5,62.5,0,40,0
163,585,3,20,50,50,1,20,0
164,587,5,26.66699,37.49954,37.49954,2,25,0
165,592,1,40,62.5,62.5,0,40,0
166,594,3,20,50,50,1,20,0
167,598,5,30,66.66666,66.66666,2,30,0
168,602,1,40,50,50,0,40,0
169,605,4,20,75,75,1,20,0
170,609,6,30,66.66666,66.66666,2,30,0
171,613,1,40,50,50,0,40,0
172,615,2,20,50,50,1,20,0
173,619,5,30,66.66666,66.66666,2,30,0
174,624,2,40,62.5,62.5,0,40,0
175,626,3,23.33301,42.85774,42.85774,1,21,0
176,629,4,26.66699,56.24931,56.24931,2,25,0
177,634,1,43.33301,57.69274,57.69274,0,43,0
178,636,3,20,50,50,1,20,0
179,640,4,30,66.66666,66.66666,2,30,0
180,645,1,40,62.5,62.5,0,37,0
181,648,4,20,75,75,1,20,0
182,652,8,30,66.66666,66.66666,2,30,0
183,658,1,40,75,75,0,40,0
184,660,3,20,50,50,1,20,0
185,663,6,30,50,50,2,30,0
186,668,1,40,62.5,62.5,0,40,0
187,671,3,20,75,75,1,20,0
188,674,1,30,50,50,2,30,0
189,679,2,43.3335,57.69209,57.69209,0,41,0
190,681,3,20,50,50,1,20,0
191,684,6,30,50,50,2,30,0
192,689,1,40,62.5,62.5,0,40,0
193,692,4,20,75,75,1,20,0
194,695,5,26.6665,56.25034,56.25034,2,25,0
195,700,1,40,62.5,62.5,0,40,0
196,703,4,20,75,75,1,20,0
197,706,6,30,50,50,2,30,0
198,711,1,40,62.5,62.5,0,40,0
199,714,3,20,75,75,1,20,0
200,718,7,26.66699,74.99908,74.99908,2,26,0
201,723,1,40,62.5,62.5,0,40,0
202,726,4,20,75,75,1,20,0
203,730,7,30,66.66666,66.66666,2,30,0
204,735,2,40,62.5,62.5,0,40,0
205,737,3,20,50,50,1,20,0
206,740,6,30,50,50,2,30,0
207,745,1,40,62.5,62.5,0,40,0
208,748,4,20,75,75,1,20,0
209,751,7,30,50,50,2,30,0
210,756,2,40,62.5,62.5,0,37,0
211,758,3,20,50,50,1,20,0
212,762,6,30,66.66666,66.66666,2,30,0
213,767,1,40,62.5,62.5,0,40,0
214,769,3,20,50,50,1,20,0
215,773,2,30,66.66666,66.66666,2,30,0
216,778,1,40,62.5,62.5,0,40,0
217,780,3,20,50,50,1,20,0
218,783,5,30,50,50,2,27,0
219,788,2,36.6665,68.18212,68.18212,0,35,0
220,791,4,20,75,75,1,20,0
221,795,8,30,66.66666,66.66666,2,30,0
222,799,1,40,50,50,0,40,0
223,802,4,20,75,75,1,20,0
224,806,8,30,66.66666,66.66666,2,30,0
225,810,1,40,50,50,0,40,0
226,813,3,20,75,75,1,20,0
227,816,5,30,50,50,2,30,0
228,821,1,40,62.5,62.5,0,40,0
229,823,3,20,50,50,1,20,0
230,827,5,30,66.66666,66.66666,2,30,0
231,831,1,40,50,50,0,40,0
232,834,3,20,75,75,1,20,0
233,837,6,30,50,50,2,30,0
234,842,2,40,62.5,62.5,0,40,0
235,844,3,20,50,50,1,20,0
236,848,7,30,66.66666,66.66666,2,30,0
237,852,1,40,50,50,0,38,0
238,855,3,20,75,75,1,20,0
239,859,7,30,66.66666,66.66666,2,30,0
240,864,1,40,62.5,62.5,0,40,0
241,866,3,20,50,50,1,20,0
242,870,7,30,66.66666,66.66666,2,30,0
243,875,1,40,62.5,62.5,0,40,0
244,877,3,20,50,50,1,20,0
245,880,4,26.6665,56.25034,56.25034,2,26,0
246,885,1,40,62.5,62.5,0,40,0
247,888,4,20,75,75,1,20,0
248,892,8,30,66.66666,66.66666,2,30,0
249,896,1,40,50,50,0,38,0
250,898,3,20,50,50,1,20,0
251,901,6,30,50,50,2,27,0
252,907,2,40,75,75,0,40,0
253,909,3,20,50,50,1,20,0
254,913,6,30,66.66666,66.66666,2,30,0
255,917,1,36.66699,54.54497,54.54497,0,35,0
256,920,3,16.6665,90.00088,90.00088,1,15,0
257,923,3,30,50,50,2,30,0
258,929,1,40,75,75,0,37,0
259,932,4,20,75,75,1,20,0
260,936,7,33.3335,59.99971,59.99971,2,31,0
261,941,1,40,62.5,62.5,0,40,0
262,943,3,20,50,50,1,20,0
263,946,6,30,50,50,2,30,0
264,951,1,40,62.5,62.5,0,40,0
265,954,4,20,75,75,1,20,0
266,957,7,30,50,50,2,30,0
267,963,1,46.6665,64.28594,64.28594,0,46,0
268,965,3,20,50,50,1,20,0
269,968,6,30,50,50,2,30,0
270,973,1,40,62.5,62.5,0,40,0
271,976,3,20,75,75,1,20,0
272,979,6,30,50,50,2,30,0
273,984,1,40,62.5,62.5,0,40,0
274,986,3,20.00049,49.99878,49.99878,1,20,0
275,990,6,30,66.66666,66.66666,2,30,0
276,995,2,40,62.5,62.5,0,40,0
277,997,3,20,50,50,1,20,0
278,1000,5,30,50,50,2,30,0
279,1004,1,40,50,50,0,40,0
280,1006,3,20,50,50,1,18,0
281,1010,7,30,66.66666,66.66666,2,30,0
282,1014,1,40,50,50,0,40,0
283,1017,4,20,75,75,1,20,0
284,1021,7,30,66.66666,66.66666,2,30,0
285,1026,1,40,62.5,62.5,0,37,0
286,1028,3,20,50,50,1,20,0
287,1032,7,26.66602,75.00183,75.00183,2,25,0
288,1037,1,40,62.5,62.5,0,40,0
289,1039,3,20,50,50,1,20,0
290,1043,7,30,66.66666,66.66666,2,30,0
291,1047,1,40,50,50,0,40,0
292,1050,3,20,75,75,1,20,0
293,1054,6,30,66.66666,66.66666,2,30,0
294,1059,1,40,62.5,62.5,0,40,0
295,1061,3,20,50,50,1,18,0
296,1065,6,30,66.66666,66.66666,2,30,0
297,1070,1,40,62.5,62.5,0,40,0
298,1072,3,20,50,50,1,20,0
299,1075,6,30,50,50,2,29,0
300,1081,1,50,60,60,0,49,0
301,1084,3,20,75,75,1,20,0
302,1087,5,30,50,50,2,30,0
303,1092,1,40,62.5,62.5,0,38,0
304,1095,4,20,75,75,1,20,0
305,1098,6,30,50,50,2,30,0
306,1102,1,40,50,50,0,40,0
307,1105,3,20,75,75,1,20,0
308,1108,5,30,50,50,2,30,0
