Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
215,8,73,1,623.049
216,8,74,2,626.3823
217,8,74,1,629.7156
218,8,75,2,633.049
219,8,75,1,636.3823
220,8,75,1,639.7156
221,8,76,2,643.049
222,8,76,2,646.3823
223,8,76,2,649.7156
224,8,77,3,653.049
225,8,77,3,656.3823
226,8,78,4,659.7156
227,8,78,4,663.049
228,8,79,5,666.3823
229,8,79,5,669.7156
230,8,80,5,673.049
231,8,80,5,676.3823
232,8,81,6,679.7156
233,8,81,6,683.049
234,8,81,6,686.3823
235,8,82,7,689.7156
236,8,82,7,693.049
237,8,82,7,696.3823
238,8,83,8,699.7156
239,8,83,6,703.049
240,8,84,3,706.3823
241,9,84,1,709.7156
242,9,84,1,713.049
243,9,85,1,716.3823
244,9,85,1,719.7156
245,9,86,2,723.049
246,9,86,1,726.3823
247,9,87,2,729.7156
248,9,87,2,733.049
249,9,88,3,736.3823
250,9,88,3,739.7156
251,9,89,4,743.049
252,9,89,4,746.3823
253,9,89,4,749.7156
254,9,90,5,753.049
255,9,90,5,756.3823
256,9,90,5,759.7156
257,9,91,6,763.049
258,9,91,6,766.3823
259,9,91,6,769.7156
260,9,92,7,773.049
261,9,92,7,776.3823
262,9,92,7,779.7156
263,9,93,8,783.049
264,9,93,8,786.3823
265,9,93,8,789.7157
266,9,94,6,793.049
267,9,94,2,796.3823
268,9,95,2,799.7157
269,9,95,1,803.049
270,9,96,2,806.3823
271,10,96,1,809.7157
272,10,96,1,813.049
273,10,97,1,816.3823
274,10,97,1,819.7157
275,10,97,1,823.049
276,10,98,2,826.3823
277,10,98,2,829.7157
278,10,99,3,833.049
279,10,99,3,836.3823
280,10,100,4,839.7157
281,10,100,4,843.049
282,10,101,5,846.3823
283,10,101,5,849.7157
284,10,101,5,853.049
285,10,102,6,856.3823
286,10,102,6,859.7157
287,10,103,7,863.049
288,10,103,7,866.3823
289,10,104,8,869.7157
290,10,104,8,873.049
291,10,104,8,876.3823
292,10,105,9,879.7157
293,10,105,6,883.049
294,10,106,3,886.3823
295,10,106,1,889.7157
296,10,107,2,893.049
297,10,107,1,896.3823
298,10,107,1,899.7157
299,10,108,1,903.049
300,10,108,1,906.3823
301,11,109,2,909.7157
302,11,109,2,913.049
303,11,109,2,916.3823
304,11,110,3,919.7157
305,11,110,3,923.049
306,11,110,3,926.3823
307,11,111,4,929.7157
308,11,111,4,933.049
309,11,112,5,936.3823
310,11,112,5,939.7157
311,11,113,6,943.049
312,11,113,6,946.3823
313,11,113,6,949.7157
314,11,114,7,953.049
315,11,114,7,956.3823
316,11,114,7,959.7157
317,11,115,8,963.049
318,11,115,8,966.3823
319,11,116,9,969.7157
320,11,116,6,973.049
321,11,117,3,976.3823
322,11,117,1,979.7157
323,11,118,2,983.049
324,11,118,1,986.3823
325,11,119,2,989.7157
326,11,119,1,993.049
327,11,119,1,996.3823
328,11,120,1,999.7157
329,11,120,1,1003.049
330,11,120,1,1006.382
331,12,121,2,1009.716
332,12,121,2,1013.049
333,12,121,2,1016.382
334,12,122,3,1019.716
335,12,122,3,1023.049
336,12,122,3,1026.382
337,12,123,4,1029.716
338,12,123,2,1033.049
339,12,124,3,1036.382
340,12,124,3,1039.716
341,12,125,4,1043.049
342,12,125,4,1046.382
343,12,125,4,1049.716
344,12,126,5,1053.049
345,12,126,5,1056.382
346,12,126,5,1059.716
347,12,127,3,1063.049
348,12,127,1,1066.382
349,12,127,1,1069.716
350,12,128,1,1073.049
351,12,128,1,1076.382
352,12,128,1,1079.716
353,12,129,1,1083.049
354,12,129,1,1086.382
355,12,129,1,1089.716
356,12,130,2,1093.049
357,12,130,2,1096.382
358,12,131,3,1099.716
359,12,131,3,1103.049
360,12,132,4,1106.382
361,13,132,4,1109.716
362,13,133,5,1113.049
363,13,133,5,1116.382
364,13,134,6,1119.716
365,13,134,5,1123.049
366,13,135,6,1126.382
367,13,135,6,1129.716
368,13,135,6,1133.049
369,13,136,7,1136.382
370,13,136,7,1139.716
371,13,136,7,1143.049
372,13,137,8,1146.382
373,13,137,8,1149.716
374,13,137,5,1153.049
375,13,138,3,1156.382
376,13,138,1,1159.716
377,13,139,2,1163.049
378,13,139,1,1166.382
379,13,139,1,1169.716
380,13,140,1,1173.049
381,13,140,1,1176.382
382,13,141,2,1179.716
383,13,141,2,1183.049
384,13,141,2,1186.382
385,13,142,3,1189.716
386,13,142,3,1193.049
387,13,142,3,1196.382
388,13,143,4,1199.716
389,13,143,4,1203.049
390,13,143,4,1206.382
391,14,144,5,1209.716
392,14,144,5,1213.049
393,14,145,6,1216.382
394,14,145,6,1219.716
395,14,146,7,1223.049
396,14,146,7,1226.382
397,14,147,8,1229.716
398,14,147,8,1233.049
399,14,148,9,1236.382
400,14,148,9,1239.716
401,14,148,5,1243.049
402,14,149,3,1246.382
403,14,149,1,1249.716
404,14,150,2,1253.049
405,14,150,1,1256.382
406,14,150,1,1259.716
407,14,151,1,1263.049
408,14,151,1,1266.382
409,14,151,1,1269.716
410,14,152,2,1273.049
411,14,152,2,1276.382
412,14,152,2,1279.716
413,14,153,3,1283.049
414,14,153,3,1286.382
415,14,154,4,1289.716
416,14,154,4,1293.049
417,14,154,4,1296.382
418,14,155,5,1299.716
419,14,155,5,1303.049
420,14,156,6,1306.382
421,15,156,6,1309.716
422,15,156,6,1313.049
423,15,157,7,1316.382
424,15,157,7,1319.716
425,15,157,7,1323.049
426,15,158,8,1326.382
427,15,158,8,1329.716
428,15,159,5,1333.049
429,15,159,2,1336.382
430,15,159,1,1339.716
431,15,160,1,1343.049
432,15,160,1,1346.382
433,15,160,1,1349.716
434,15,161,1,1353.049
435,15,161,1,1356.382
436,15,161,1,1359.716
437,15,162,2,1363.049
438,15,162,2,1366.382
439,15,163,3,1369.716
440,15,163,3,1373.049
441,15,163,3,1376.382
442,15,164,4,1379.716
443,15,164,4,1383.049
444,15,165,5,1386.382
445,15,165,5,1389.716
446,15,166,6,1393.049
447,15,166,6,1396.382
448,15,167,7,1399.716
449,15,167,7,1403.049
450,15,168,8,1406.382
451,16,168,8,1409.716
452,16,169,9,1413.049
453,16,169,9,1416.382
454,16,170,10,1419.716
455,16,170,8,1423.049
456,16,170,5,1426.382
457,16,171,2,1429.716
458,16,171,1,1433.049
459,16,171,1,1436.382
460,16,172,1,1439.716
461,16,172,1,1443.049
462,16,172,1,1446.382
463,16,173,1,1449.716
464,16,173,1,1453.049
465,16,174,2,1456.382
466,16,174,2,1459.716
467,16,174,2,1463.049
468,16,175,3,1466.382
469,16,175,3,1469.716
470,16,175,3,1473.049
471,16,176,4,1476.382
472,16,176,4,1479.716
473,16,176,4,1483.049
474,16,177,5,1486.382
475,16,177,5,1489.716
476,16,178,6,1493.049
477,16,178,6,1496.382
478,16,179,7,1499.716
479,16,179,7,1503.049
480,16,180,8,1506.382
481,17,180,8,1509.716
482,17,181,7,1513.049
483,17,181,4,1516.382
484,17,182,2,1519.716
485,17,182,1,1523.049
486,17,182,1,1526.382
487,17,183,1,1529.716
488,17,183,1,1533.049
489,17,184,2,1536.382
490,17,184,1,1539.716
491,17,185,2,1543.049
492,17,185,2,1546.382
493,17,186,3,1549.716
494,17,186,3,1553.049
495,17,186,3,1556.382
496,17,187,4,1559.716
497,17,187,4,1563.049
498,17,188,5,1566.382
499,17,188,5,1569.716
500,17,189,5,1573.049
501,17,189,5,1576.382
502,17,190,6,1579.716
503,17,190,6,1583.049
504,17,191,7,1586.382
505,17,191,7,1589.716
506,17,192,8,1593.049
507,17,192,8,1596.382
508,17,192,8,1599.716
509,17,193,6,1603.049
510,17,193,3,1606.382
511,18,194,2,1609.716
512,18,194,1,1613.049
513,18,195,2,1616.382
514,18,195,1,1619.716
